Type,id,edges--edge--capital_recovery_period,edges--edge--unidirectional,edges--edge--commodity,edges--edge--lifetime,edges--edge--has_capacity,transforms--timedata,edges--edge--can_retire,edges--edge--can_expand,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--existing_capacity,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--capacity_size,edges--edge--end_vertex,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--wacc
VRE,Region19Guangdong_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,7144,system/vre_availability_1.csv,Region19Guangdong_Wind_Onshore,200,elec_Region19Guangdong,0,58549.23691,true,0,0.017
VRE,Region20Guangxi_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,18020,system/vre_availability_1.csv,Region20Guangxi_Wind_Onshore,200,elec_Region20Guangxi,0,58549.23691,true,0,0.017
VRE,Region21Hainan_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,413,system/vre_availability_1.csv,Region21Hainan_Wind_Onshore,200,elec_Region21Hainan,0,58549.23691,true,0,0.017
VRE,Region22Chongqing_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,2410,system/vre_availability_1.csv,Region22Chongqing_Wind_Onshore,200,elec_Region22Chongqing,0,58549.23691,true,0,0.017
VRE,Region23Sichuan_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,8900,system/vre_availability_1.csv,Region23Sichuan_Wind_Onshore,200,elec_Region23Sichuan,0,58549.23691,true,0,0.017
VRE,Region24Guizhou_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,7480,system/vre_availability_1.csv,Region24Guizhou_Wind_Onshore,200,elec_Region24Guizhou,0,58549.23691,true,0,0.017
VRE,Region25Yunnan_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,16710,system/vre_availability_1.csv,Region25Yunnan_Wind_Onshore,200,elec_Region25Yunnan,0,58549.23691,true,0,0.017
VRE,Region26Tibet_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,530,system/vre_availability_1.csv,Region26Tibet_Wind_Onshore,200,elec_Region26Tibet,0,58549.23691,true,0,0.017
VRE,Region27Shaanxi_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,14950,system/vre_availability_1.csv,Region27Shaanxi_Wind_Onshore,200,elec_Region27Shaanxi,0,58549.23691,true,0,0.017
VRE,Region28Gansu_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,32150,system/vre_availability_1.csv,Region28Gansu_Wind_Onshore,200,elec_Region28Gansu,0,58549.23691,true,0,0.017
VRE,Region29Qinghai_Wind_Onshore,20,true,Electricity,20,true,Electricity,true,true,-1,20277.77778,12670,system/vre_availability_1.csv,Region29Qinghai_Wind_Onshore,200,elec_Region29Qinghai,0,58549.23691,true,0,0.017
