Type,id,storage--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,storage--max_storage_level,storage--can_retire,storage--charge_discharge_ratio,storage--capital_recovery_period,storage--can_expand,storage--max_capacity,storage--fixed_om_cost,storage--min_duration,storage--existing_capacity,storage--capacity_size,storage--lifetime,storage--long_duration,storage--investment_cost,storage--min_storage_level,storage--max_duration,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--min_capacity,storage--loss_fraction,storage--wacc,edges--discharge_edge--can_retire,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--discharge_edge--max_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--existing_capacity,edges--discharge_edge--capacity_size,edges--discharge_edge--lifetime,edges--discharge_edge--end_vertex,edges--discharge_edge--variable_om_cost,edges--discharge_edge--investment_cost,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--min_capacity,edges--discharge_edge--wacc,edges--charge_edge--can_retire,edges--charge_edge--can_expand,edges--charge_edge--has_capacity,edges--charge_edge--max_capacity,edges--charge_edge--efficiency,edges--charge_edge--fixed_om_cost,edges--charge_edge--existing_capacity,edges--charge_edge--capacity_size,edges--charge_edge--variable_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--start_vertex,edges--charge_edge--min_capacity
Battery,Region24Guizhou_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region24Guizhou,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region24Guizhou,0
Battery,Region25Yunnan_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region25Yunnan,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region25Yunnan,0
Battery,Region26Tibet_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,306.66,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,153.33,1,15,elec_Region26Tibet,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,153.33,1,0,0,elec_Region26Tibet,0
Battery,Region27Shaanxi_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,14.24,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,7.12,1,15,elec_Region27Shaanxi,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,7.12,1,0,0,elec_Region27Shaanxi,0
Battery,Region28Gansu_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,701.22,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,350.61,1,15,elec_Region28Gansu,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,350.61,1,0,0,elec_Region28Gansu,0
Battery,Region29Qinghai_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,106.04,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,53.02,1,15,elec_Region29Qinghai,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,53.02,1,0,0,elec_Region29Qinghai,0
Battery,Region30Ningxia_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,0.0,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,0.0,1,15,elec_Region30Ningxia,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region30Ningxia,0
Battery,Region31Xinjiang_battery,Electricity,true,Electricity,true,Electricity,1,true,1,15,true,-1,14447.91667,1,488.76,1,15,false,67517.74118,0,2,true,true,true,true,true,0,0,0.027,true,15,true,true,-1,0.92,7223.958333,244.38,1,15,elec_Region31Xinjiang,0,33758.87059,true,true,0,0.027,false,false,false,0,0.92,0,244.38,1,0,0,elec_Region31Xinjiang,0
Battery,Region1Beijing_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,6576.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,822.0,1,50,elec_Region1Beijing,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,822.0,1,0,0,elec_Region1Beijing,0
Battery,Region2Tianjin_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,0.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,0.0,1,50,elec_Region2Tianjin,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region2Tianjin,0
Battery,Region3Hebei_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,10248.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1281.0,1,50,elec_Region3Hebei,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1281.0,1,0,0,elec_Region3Hebei,0
Battery,Region4Shanxi_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,9600.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1200.0,1,50,elec_Region4Shanxi,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1200.0,1,0,0,elec_Region4Shanxi,0
Battery,Region5Innermongolia_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,9600.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1200.0,1,50,elec_Region5Innermongolia,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1200.0,1,0,0,elec_Region5Innermongolia,0
Battery,Region6Liaoning_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,9600.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1200.0,1,50,elec_Region6Liaoning,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1200.0,1,0,0,elec_Region6Liaoning,0
Battery,Region7Jilin_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,2400.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,300.0,1,50,elec_Region7Jilin,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,300.0,1,0,0,elec_Region7Jilin,0
Battery,Region8Heilongjiang_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,0.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,0.0,1,50,elec_Region8Heilongjiang,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region8Heilongjiang,0
Battery,Region9Shanghai_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,0.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,0.0,1,50,elec_Region9Shanghai,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,0.0,1,0,0,elec_Region9Shanghai,0
Battery,Region10Jiangsu_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,20800.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,2600.0,1,50,elec_Region10Jiangsu,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,2600.0,1,0,0,elec_Region10Jiangsu,0
Battery,Region11Zhejiang_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,36640.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,4580.0,1,50,elec_Region11Zhejiang,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,4580.0,1,0,0,elec_Region11Zhejiang,0
Battery,Region12Anhui_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,27840.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,3480.0,1,50,elec_Region12Anhui,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,3480.0,1,0,0,elec_Region12Anhui,0
Battery,Region13Fujian_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,9600.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1200.0,1,50,elec_Region13Fujian,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1200.0,1,0,0,elec_Region13Fujian,0
Battery,Region14Jiangxi_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,19200.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,2400.0,1,50,elec_Region14Jiangxi,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,2400.0,1,0,0,elec_Region14Jiangxi,0
Battery,Region15Shandong_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,8000.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1000.0,1,50,elec_Region15Shandong,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1000.0,1,0,0,elec_Region15Shandong,0
Battery,Region16Henan_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,10560.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1320.0,1,50,elec_Region16Henan,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1320.0,1,0,0,elec_Region16Henan,0
Battery,Region17Hubei_pumpedhydro,Electricity,true,Electricity,true,Electricity,1,false,1,50,false,-1,48895.83333,6,10160.0,1,50,false,0.0,0,24,true,true,true,true,true,0,0,0.027,false,50,false,true,-1,0.92,24447.91667,1270.0,1,50,elec_Region17Hubei,0,0.0,true,true,0,0.027,false,false,false,0,0.92,0,1270.0,1,0,0,elec_Region17Hubei,0
