Type,id,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--unidirectional,edges--transmission_edge--commodity,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--has_capacity,edges--transmission_edge--max_capacity,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxNewCapacityConstraint,edges--transmission_edge--can_retire,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_new_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--start_vertex,edges--transmission_edge--can_expand,edges--transmission_edge--end_vertex
TransmissionLink,Line117CandidateAC_Region5Innermongolia_to_Region8Heilongjiang,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,14841.49125,elec_Region5Innermongolia,true,elec_Region8Heilongjiang
TransmissionLink,Line118CandidateAC_Region5Innermongolia_to_Region7Jilin,100,false,Electricity,0.062,100,true,9600,true,true,true,false,0.025,9600,0,13441.35128,elec_Region5Innermongolia,true,elec_Region7Jilin
TransmissionLink,Line119CandidateAC_Region4Shanxi_to_Region16Henan,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.015,10000,0,11472.81552,elec_Region4Shanxi,true,elec_Region16Henan
TransmissionLink,Line120CandidateAC_Region16Henan_to_Region17Hubei,100,false,Electricity,0.062,100,true,10000,true,true,true,false,0.015,10000,0,10412.82308,elec_Region16Henan,true,elec_Region17Hubei
TransmissionLink,Line121CandidateAC_Region12Anhui_to_Region11Zhejiang,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,13478.75058,elec_Region12Anhui,true,elec_Region11Zhejiang
TransmissionLink,Line122CandidateAC_Region11Zhejiang_to_Region9Shanghai,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,8460.558516,elec_Region11Zhejiang,true,elec_Region9Shanghai
TransmissionLink,Line123CandidateAC_Region12Anhui_to_Region10Jiangsu,100,false,Electricity,0.062,100,true,22000,true,true,true,false,0.015,22000,0,11810.69568,elec_Region12Anhui,true,elec_Region10Jiangsu
TransmissionLink,Line124CandidateAC_Region10Jiangsu_to_Region9Shanghai,100,false,Electricity,0.062,100,true,22000,true,true,true,false,0.015,22000,0,10921.47308,elec_Region10Jiangsu,true,elec_Region9Shanghai
TransmissionLink,Line125CandidateAC_Region11Zhejiang_to_Region13Fujian,100,false,Electricity,0.062,100,true,21000,true,true,true,false,0.015,21000,0,14321.18577,elec_Region11Zhejiang,true,elec_Region13Fujian
TransmissionLink,Line126CandidateAC_Region5Innermongolia_to_Region3Hebei,100,false,Electricity,0.062,100,true,20000,true,true,true,false,0.015,20000,0,13606.21803,elec_Region5Innermongolia,true,elec_Region3Hebei
