Type,id,transforms--timedata,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--commodity,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--can_retire,edges--edge--max_capacity,edges--edge--can_expand,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--TDR_path
VRE,Region10Jiangsu_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region10Jiangsu,45697,200,Region10Jiangsu_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region11Zhejiang_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region11Zhejiang,38936,200,Region11Zhejiang_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region12Anhui_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region12Anhui,28693,200,Region12Anhui_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region13Fujian_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region13Fujian,11818,200,Region13Fujian_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region14Jiangxi_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region14Jiangxi,11894,200,Region14Jiangxi_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region15Shandong_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region15Shandong,50206,200,Region15Shandong_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region16Henan_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region16Henan,37191,200,Region16Henan_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region17Hubei_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region17Hubei,13621,200,Region17Hubei_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region18Hunan_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region18Hunan,13873,200,Region18Hunan_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region19Guangdong_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region19Guangdong,27423,200,Region19Guangdong_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region20Guangxi_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region20Guangxi,9637,200,Region20Guangxi_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region21Hainan_PV_Distribution,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,-1,TRUE,TRUE,0,519444.44444444444,8750,0,0.08,elec_Region21Hainan,2684,200,Region21Hainan_PV_Distribution,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
