Province,Region,Period,Year,WeightSource,ScrapMid_Mton_per_year,Weight_ScrapShareInput,WeightShare,MaxSupply_ton_per_h,ImpliedTotal_288h_tons
Jiangsu,Region10Jiangsu,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.525384735,0.06406005086957917,208.30982407629654,59993.2293339734
Jiangxi,Region14Jiangxi,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.001981322,0.042079203354351245,136.8327269340053,39407.825356993526
Jilin,Region7Jilin,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.223045524,0.009367018881090311,30.4595770492258,8772.35819017703
Liaoning,Region6Liaoning,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.543993633,0.022845554307128414,74.28894192313747,21395.215273863592
Ningxia,Region30Ningxia,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.197772756,0.008305663823216946,27.00827343040398,7778.382747956347
Qinghai,Region29Qinghai,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.122457143,0.005142709658703468,16.72301113936078,4816.227208135904
Shaanxi,Region27Shaanxi,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.680239034,0.028567315590393258,92.89490726572001,26753.733292527362
Shandong,Region15Shandong,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.595272753,0.06699506777746377,217.8538823067082,62741.918104331955
Shanxi,Region4Shanxi,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.561042515,0.023561539083381895,76.6171739610158,22065.74610077255
Sichuan,Region23Sichuan,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.450296251,0.06090663521358757,198.05557901057819,57040.00675504652
Tibet,Region26Tibet,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.0,0.0,0.0,0.0
Xinjiang,Region31Xinjiang,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,0.402716599,0.0169124845857094,54.99584594328228,15838.803631665298
Yunnan,Region25Yunnan,3,2035,aluminum_scrap_share_weights.csv,28.4856792047119,1.311815695,0.05509100637041077,179.14437608815763,51593.58031338939
