MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,ME_solar_pv,MA_onshore_wind
0.0,0.189559758,0.0,0.945908904,0.000000000,0.580327168
0.0,0.259287894,0.0,0.926405728,0.000000000,0.616005235
0.0,0.127237305,0.0,0.849615216,0.000000000,0.537061104
0.0,0.17743887,0.0,0.885867298,0.000000000,0.527783648
0.0,0.27053991,0.0,0.903562665,0.000000000,0.595765296
0.0,0.18752566,0.0,0.900292158,0.000000000,0.547558806
0.1709,0.695573568,0.1778,0.789421737,0.187469734,0.777831565
0.3428,0.131348357,0.3614,0.802557707,0.388741984,0.504944715
0.4545,0.239212155,0.4885,0.730632544,0.490908844,0.554382635
0.5223,0.310001045,0.5863,0.699638247,0.574650679,0.500780391
0.5971,0.416327089,0.5876,0.509494543,0.620893952,0.497293520
0.6098,0.421913445,0.5302,0.48682785,0.599395805,0.466026231
0.5176,0.579014182,0.4279,0.620525122,0.500652205,0.606870344
0.3503,0.643352985,0.2873,0.686781466,0.346299449,0.689231786
0.1105,0.790205538,0.1142,0.834916592,0.107196506,0.822193927
0.0,0.734749496,0.0,0.961258769,0.000000000,0.879110411
0.0,0.901278973,0.0,0.985307395,0.000000000,0.962896163
0.0,0.443615586,0.0,0.975257516,0.000000000,0.749653635
0.0,0.563726008,0.0,0.99187088,0.000000000,0.781476356
0.0,0.776801109,0.0,0.995504022,0.000000000,0.913983717
0.0,0.593942106,0.0,0.938395023,0.000000000,0.804251533
0.0,0.759970427,0.0,0.930854142,0.000000000,0.893471238
0.0,0.504448533,0.0,0.889441252,0.000000000,0.693692911
0.0,0.487716585,0.0,0.884310007,0.000000000,0.671334481
0.0,0.197554901,0.0,0.762876272,0.000000000,0.510372494
0.0,0.051789507,0.0,0.630009115,0.000000000,0.313295182
0.0,0.297564685,0.0,0.414530814,0.000000000,0.352841998
0.0,0.620805919,0.0,0.377632737,0.000000000,0.506360709
0.0,0.506251514,0.0,0.347323477,0.000000000,0.442934142
0.0,0.369528323,0.0,0.218754575,0.000000000,0.323387288
0.1904,0.075398572,0.1817,0.348196238,0.202599716,0.272185861
0.3998,0.052092776,0.3776,0.275951982,0.388764415,0.196355839
0.5013,0.000912532,0.5216,0.167353988,0.504409245,0.063772248
0.5482,0.003804801,0.6342,0.096209385,0.605007687,0.060165795
0.5471,0.004665192,0.6809,0.024136219,0.656906020,0.000000000
0.5638,0.034942862,0.6637,0.017962135,0.678907477,0.004265746
0.4942,0.130620405,0.5758,0.026331495,0.547940231,0.066395565
0.358,0.209739819,0.4076,0.050122589,0.393923816,0.130256802
0.1237,0.270353645,0.1352,0.076377168,0.133429178,0.200233956
0.0,0.587898731,0.0,0.160285532,0.000000000,0.394989265
0.0,0.801127791,0.0,0.250386924,0.000000000,0.512376759
0.0,0.471754193,0.0,0.234963924,0.000000000,0.358276140
0.0,0.497119367,0.0,0.377899528,0.000000000,0.430622060
0.0,0.433294594,0.0,0.383023888,0.000000000,0.421447603
0.0,0.464815438,0.0,0.388597429,0.000000000,0.447073618
0.0,0.495626986,0.0,0.359877288,0.000000000,0.411410816
0.0,0.773328662,0.0,0.376229882,0.000000000,0.600869612
0.0,0.922425091,0.0,0.42322576,0.000000000,0.708936777
0.0,0.975681365,0.0,0.425420642,0.000000000,0.717868718
0.0,0.998668909,0.0,0.474283308,0.000000000,0.789504228
0.0,0.96816361,0.0,0.513089657,0.000000000,0.765518186
0.0,0.995454729,0.0,0.691806316,0.000000000,0.892681275
0.0,0.987193763,0.0,0.568521321,0.000000000,0.804758303
0.0,0.9938519,0.0,0.524209619,0.000000000,0.766916580
0.0,0.997879922,0.0001,0.65563798,0.000000000,0.854042209
0.0026,0.994140625,0.0041,0.655473053,0.000000000,0.839218675
0.0598,0.999531507,0.0626,0.686019301,0.082567268,0.889128726
0.1045,1.0,0.0905,0.958478153,0.088526693,0.970440736
0.0515,1.0,0.1765,0.988630712,0.107337388,1.000000000
0.0671,0.999296963,0.3062,0.989668608,0.198866312,1.000000000
0.1956,0.987912178,0.369,0.97400701,0.300335542,1.000000000
0.1553,0.973082304,0.2813,0.943269491,0.239605243,0.978674042
0.0357,0.908562422,0.0903,0.918866634,0.062664106,0.952395936
0.0,0.863576651,0.0,0.912455797,0.000000000,0.936066617
