ID,Cata,源,汇,NEWID,NO,Status,SY,YR,CA（MW）,UH（h）,SP（g/kWh）,CE（Mt/年）,TCE（Mt）,lat1,lng1,源lat,源lng,汇lat,汇lng,UT,是否热电联产,距离,最近埋存点,埋存点性质,总碳封存额（Mt）
5686,煤源,Y5686,,CSP5686,1,07 Pre-permit,2026,,1000,3740,316.72,3.31669184,106.1341389,21.073605,110.428227,21.073605,110.428227,,,超超临界,热电联产,155.3602164,CCS020,海洋埋存,23800
5687,煤源,Y5687,,CSP5687,1,07 Pre-permit,2026,,1000,3740,311.75,3.264646,104.468672,21.073605,110.428227,21.073605,110.428227,,,超超临界,热电联产,155.3602164,CCS020,海洋埋存,23800
5688,煤源,Y5688,,CSP5688,1,07 Pre-permit,2025,,1000,5066,273.24,3.875854752,120.1514973,40.642098,106.265457,40.642098,106.265457,,,超超临界,常规煤电,353.7423784,CCS071,陆地埋存,0.3
5689,煤源,Y5689,,CSP5689,1,07 Pre-permit,2026,,1000,5066,273.24,3.875854752,124.0273521,40.642098,106.265457,40.642098,106.265457,,,超超临界,常规煤电,353.7423784,CCS071,陆地埋存,0.3
5690,煤源,Y5690,,CSP5690,1,07 Pre-permit,2026,,1000,5066,273.24,3.875854752,124.0273521,40.642098,106.265457,40.642098,106.265457,,,超超临界,常规煤电,353.7423784,CCS071,陆地埋存,0.3
5691,煤源,Y5691,,CSP5691,1,07 Pre-permit,2026,,1000,5066,273.24,3.875854752,124.0273521,40.642098,106.265457,40.642098,106.265457,,,超超临界,常规煤电,353.7423784,CCS071,陆地埋存,0.3
5692,煤源,Y5692,,CSP5692,1,07 Pre-permit,2024,,30,5066,313,0.133195272,3.99585816,41.560504,119.341125,41.560504,119.341125,,,亚临界,热电联产,204.7943467,CCS113,陆地埋存,178.03
5693,煤源,Y5693,,CSP5693,1,07 Pre-permit,2024,,30,5066,313,0.133195272,3.99585816,41.560504,119.341125,41.560504,119.341125,,,亚临界,热电联产,204.7943467,CCS113,陆地埋存,178.03
5694,煤源,Y5694,,CSP5694,1,07 Pre-permit,2024,,30,5066,313,0.133195272,3.99585816,41.560504,119.341125,41.560504,119.341125,,,亚临界,热电联产,204.7943467,CCS113,陆地埋存,178.03
5695,煤源,Y5695,,CSP5695,1,07 Pre-permit,2025,,350,4447,315.94,1.376885476,42.68344977,39.93,119.57,39.93,119.57,,,亚临界,常规煤电,127.9145811,CCS040,海洋埋存,130
5696,煤源,Y5696,,CSP5696,1,07 Pre-permit,2025,,350,4447,310.18,1.351783051,41.90527457,39.93,119.57,39.93,119.57,,,亚临界,常规煤电,127.9145811,CCS040,海洋埋存,130
5697,煤源,Y5697,,CSP5697,1,07 Pre-permit,2025,,700,3883,316.21,2.406573123,74.60376681,25.646713,105.236263,25.646713,105.236263,,,循环流化床,热电联产,493.8554258,CCS057,陆地埋存,20
5698,煤源,Y5698,,CSP5698,1,07 Pre-permit,2025,,30,4377,315,0.11581542,3.59027802,37.511361,121.445151,37.511361,121.445151,,,亚临界,热电联产,103.5922995,CCS117,陆地埋存,21.41
5699,煤源,Y5699,,CSP5699,1,07 Pre-permit,2025,,660,3761,288.7,2.006559694,62.2033505,29.5785546,111.3940472,29.5785546,111.3940472,,,超超临界,常规煤电,92.39080273,CCS055,陆地埋存,24
5700,煤源,Y5700,,CSP5700,1,07 Pre-permit,2025,,660,3761,288.7,2.006559694,62.2033505,29.5785546,111.3940472,29.5785546,111.3940472,,,超超临界,常规煤电,92.39080273,CCS055,陆地埋存,24
5701,煤源,Y5701,,CSP5701,1,07 Pre-permit,2025,,1000,4234,317.73,3.766752696,116.7693336,39.245893,110.771764,39.245893,110.771764,,,超超临界,常规煤电,61.955514,CCS071,陆地埋存,0.3
5702,煤源,Y5702,,CSP5702,1,07 Pre-permit,2025,,1000,4234,310.33,3.679024216,114.0497507,39.245893,110.771764,39.245893,110.771764,,,超超临界,常规煤电,61.955514,CCS071,陆地埋存,0.3
5703,煤源,Y5703,,CSP5703,1,07 Pre-permit,2025,,1000,4234,285.7,3.38703064,104.9979498,35.117963,108.339318,35.117963,108.339318,,,超超临界,常规煤电,115.2626305,CCS075,陆地埋存,60.6
5704,煤源,Y5704,,CSP5704,1,07 Pre-permit,2025,,1000,4234,285.7,3.38703064,104.9979498,35.117963,108.339318,35.117963,108.339318,,,超超临界,常规煤电,115.2626305,CCS075,陆地埋存,60.6
5705,煤源,Y5705,,CSP5705,1,07 Pre-permit,2024,,1000,3411,275.7,2.63315556,78.9946668,31.3536333,121.6002746,31.3536333,121.6002746,,,超超临界,常规煤电,201.6773315,CCS044,陆地埋存,100
5706,煤源,Y5706,,CSP5706,1,07 Pre-permit,2024,,1000,3411,275.7,2.63315556,78.9946668,31.3536333,121.6002746,31.3536333,121.6002746,,,超超临界,常规煤电,201.6773315,CCS044,陆地埋存,100
5707,煤源,Y5707,,CSP5707,1,07 Pre-permit,2025,,1250,4610,287.54,4.6394579,143.8231949,24.748706,118.743986,24.748706,118.743986,,,超超临界,常规煤电,184.0835633,CCS023,海洋埋存,11000
5708,煤源,Y5708,,CSP5708,1,07 Pre-permit,2025,,1000,3740,285,2.98452,92.52012,21.8667,112.9228,21.8667,112.9228,,,超超临界,常规煤电,203.2702817,CCS013,海洋埋存,69700
5709,煤源,Y5709,,CSP5709,1,07 Pre-permit,2025,,1000,3740,285,2.98452,92.52012,21.8667,112.9228,21.8667,112.9228,,,超超临界,常规煤电,203.2702817,CCS013,海洋埋存,69700
5710,煤源,Y5710,,CSP5710,1,07 Pre-permit,2025,,660,4234,288.7,2.258913518,70.02631907,35.0405,108.089268,35.0405,108.089268,,,超超临界,常规煤电,134.2837453,CCS134,陆地埋存,11.44
5711,煤源,Y5711,,CSP5711,1,07 Pre-permit,2026,,660,4403,312.99,2.546719505,81.49502415,39.3830746,111.1843014,39.3830746,111.1843014,,,超超临界,常规煤电,95.56721483,CCS071,陆地埋存,0.3
5712,煤源,Y5712,,CSP5712,1,07 Pre-permit,2026,,660,4403,312.99,2.546719505,81.49502415,39.3830746,111.1843014,39.3830746,111.1843014,,,超超临界,常规煤电,95.56721483,CCS071,陆地埋存,0.3
5713,煤源,Y5713,,CSP5713,1,07 Pre-permit,2026,,1000,3247,282.41,2.567558756,82.16188019,31.877413,104.920101,31.877413,104.920101,,,超超临界,常规煤电,188.3312528,CCS012,陆地埋存,77600
5714,煤源,Y5714,,CSP5714,1,07 Pre-permit,2026,,1000,3247,282.41,2.567558756,82.16188019,31.877413,104.920101,31.877413,104.920101,,,超超临界,常规煤电,188.3312528,CCS012,陆地埋存,77600
5715,煤源,Y5715,,CSP5715,1,07 Pre-permit,2026,,40,3330,320,0.1193472,3.8191104,33.821227,113.995713,33.821227,113.995713,,,亚临界,热电联产,126.3178213,CCS007,陆地埋存,178000
5716,煤源,Y5716,,CSP5716,1,07 Pre-permit,2025,,60,4262,315,0.22554504,6.99189624,34.551672,119.579492,34.551672,119.579492,,,亚临界,热电联产,169.0059026,CCS025,海洋埋存,1900
5717,煤源,Y5717,,CSP5717,1,07 Pre-permit,2025,,60,4262,315,0.22554504,6.99189624,34.551672,119.579492,34.551672,119.579492,,,亚临界,热电联产,169.0059026,CCS025,海洋埋存,1900
5718,煤源,Y5718,,CSP5718,1,07 Pre-permit,2025,,60,4262,315,0.22554504,6.99189624,34.551672,119.579492,34.551672,119.579492,,,亚临界,热电联产,169.0059026,CCS025,海洋埋存,1900
5719,煤源,Y5719,,CSP5719,1,07 Pre-permit,2026,,660,5260,319,3.10083312,99.22665984,44.00783852,87.30540873,44.00783852,87.30540873,,,超超临界,常规煤电,102.9549006,CCS052,陆地埋存,31.4
